reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
013/915;2;1;5;percentage;oui
787;2;1;5;percentage;oui
946;2;1;5;percentage;oui
226530;2;1;5;percentage;oui
233870;2;1;5;percentage;oui
235360;2;1;10;percentage;oui
44005;2;1;5;percentage;oui
2403592;2;1;20;percentage;oui
2403594;2;1;20;percentage;oui
97601;2;1;5;percentage;oui
223030;2;1;10;percentage;oui
223020;2;1;10;percentage;oui
202570;2;1;10;percentage;oui
235280;2;1;5;percentage;oui
187650;2;1;5;percentage;oui
186370;2;1;5;percentage;oui
186380;2;1;5;percentage;oui
404;2;1;5;percentage;oui
236950;2;1;5;percentage;oui
2329051;2;1;20;percentage;oui
681;2;1;5;percentage;oui
234350;2;1;5;percentage;oui
229;2;1;5;percentage;oui
201530;2;1;5;percentage;oui
201640;2;1;5;percentage;oui
201540;2;1;5;percentage;oui
201620;2;1;5;percentage;oui
201700;2;1;5;percentage;oui
201670;2;1;5;percentage;oui
201560;2;1;5;percentage;oui
201580;2;1;5;percentage;oui
201630;2;1;5;percentage;oui
201650;2;1;5;percentage;oui
201550;2;1;5;percentage;oui
201690;2;1;5;percentage;oui
231340;2;1;5;percentage;oui
201590;2;1;5;percentage;oui
201680;2;1;5;percentage;oui
201710;2;1;5;percentage;oui
231380;2;1;5;percentage;oui
201600;2;1;5;percentage;oui
201570;2;1;5;percentage;oui
201520;2;1;5;percentage;oui
237000;2;1;5;percentage;oui
243870;2;1;5;percentage;oui
870;2;1;5;percentage;oui
147810;2;1;5;percentage;oui
147800;2;1;5;percentage;oui
147790;2;1;5;percentage;oui
176270;2;1;5;percentage;oui
139;2;1;5;percentage;oui
50901;2;1;5;percentage;oui
85804;2;1;5;percentage;oui
237110;2;1;5;percentage;oui
857;2;1;5;percentage;oui
230200;2;1;5;percentage;oui
2328971;2;1;20;percentage;oui
2403619;2;1;20;percentage;oui
239160;2;1;20;percentage;oui
202480;2;1;20;percentage;oui
168940;2;1;5;percentage;oui
249;2;1;5;percentage;oui
2403583;2;1;20;percentage;oui
241130;2;1;5;percentage;oui
164770;2;1;5;percentage;oui
170970;2;1;5;percentage;oui
170960;2;1;5;percentage;oui
200480;2;1;5;percentage;oui
798;2;1;5;percentage;oui
97609;2;1;5;percentage;oui
51201;2;1;5;percentage;oui
42904;2;1;5;percentage;oui
202;2;1;5;percentage;oui
238;2;1;5;percentage;oui
795;2;1;5;percentage;oui
164540;2;1;5;percentage;oui
173020;2;1;5;percentage;oui
45010;2;1;5;percentage;oui
565;2;1;5;percentage;oui
233400;2;1;5;percentage;oui
174580;2;1;5;percentage;oui
97605;2;1;5;percentage;oui
680;2;1;5;percentage;oui
226;2;1;5;percentage;oui
614;2;1;5;percentage;oui
756;2;1;5;percentage;oui
236;2;1;5;percentage;oui
234490;2;1;5;percentage;oui
539S;2;1;5;percentage;oui
234;2;1;5;percentage;oui
943;2;1;5;percentage;oui
231460;2;1;5;percentage;oui
2403591;2;1;20;percentage;oui
24301;2;1;5;percentage;oui
164500;2;1;5;percentage;oui
247;2;1;5;percentage;oui
228;2;1;5;percentage;oui
164550;2;1;5;percentage;oui
574B;2;1;5;percentage;oui
235370;2;1;5;percentage;oui
228270;2;1;5;percentage;oui
235920;2;1;5;percentage;oui
164530;2;1;5;percentage;oui
233250;2;1;5;percentage;oui
164510;2;1;5;percentage;oui
234020;2;1;15;percentage;oui
610;2;1;5;percentage;oui
235340;2;1;5;percentage;oui
174430;2;1;10;percentage;oui
227320;2;1;5;percentage;oui
196100;2;1;5;percentage;oui
243;2;1;5;percentage;oui
977;2;1;5;percentage;oui
42901;2;1;5;percentage;oui
42902;2;1;5;percentage;oui
945;2;1;5;percentage;oui
956;2;1;5;percentage;oui
173030;2;1;5;percentage;oui
173030;2;1;5;percentage;oui
168660;2;1;5;percentage;oui
630;2;1;10;percentage;oui
629;2;1;10;percentage;oui
631;2;1;10;percentage;oui
224540;2;1;5;percentage;oui
224560;2;1;5;percentage;oui
222120;2;1;5;percentage;oui
164520;2;1;5;percentage;oui
234340;2;1;15;percentage;oui
174660;2;1;5;percentage;oui
42905;2;1;5;percentage;oui
562;2;1;5;percentage;oui
241970;2;1;25;percentage;oui
85803;2;1;5;percentage;oui
233900;2;1;5;percentage;oui
920;2;1;5;percentage;oui
97604;2;1;5;percentage;oui
71901;2;1;5;percentage;oui
164410;2;1;5;percentage;oui
42903;2;1;5;percentage;oui
240;2;1;5;percentage;oui
61002;2;1;5;percentage;oui
235270;2;1;5;percentage;oui
243970;2;1;5;percentage;oui
236460;2;1;5;percentage;oui
236430;2;1;5;percentage;oui
331;2;1;5;percentage;oui
61003;2;1;5;percentage;oui
440;2;1;5;percentage;oui
236250;2;1;5;percentage;oui
236540;2;1;5;percentage;oui
789;2;1;5;percentage;oui
236310;2;1;5;percentage;oui
98710;2;1;5;percentage;oui
862;2;1;5;percentage;oui
235960;2;1;5;percentage;oui
97606;2;1;5;percentage;oui
632;2;1;10;percentage;oui
97610;2;1;5;percentage;oui
626A;2;1;10;percentage;oui
626;2;1;10;percentage;oui
628;2;1;10;percentage;oui
164760;2;1;5;percentage;oui
241340;2;1;5;percentage;oui
201930;2;1;5;percentage;oui
222180;2;1;5;percentage;oui
191490;2;1;5;percentage;oui
222140;2;1;5;percentage;oui
226180;2;1;25;percentage;oui
97607;2;1;5;percentage;oui
78302;2;1;5;percentage;oui
174390;2;1;5;percentage;oui
110;2;1;5;percentage;oui
243980;2;1;5;percentage;oui
651;2;1;5;percentage;oui
221880;2;1;5;percentage;oui
221790;2;1;5;percentage;oui
173050;2;1;5;percentage;oui
173050;2;1;5;percentage;oui
174880;2;1;5;percentage;oui
174150;2;1;5;percentage;oui
174410;2;1;5;percentage;oui
867;2;1;5;percentage;oui
241370;2;1;5;percentage;oui
174160;2;1;5;percentage;oui
226440;2;1;5;percentage;oui
231750;2;1;25;percentage;oui
231820;2;1;25;percentage;oui
231740;2;1;25;percentage;oui
243070;2;1;15;percentage;oui
231410;2;1;25;percentage;oui
174570;2;1;20;percentage;oui
202540;2;1;5;percentage;oui
234010;2;1;20;percentage;oui
199730;2;1;5;percentage;oui
741;2;1;5;percentage;oui
192310;2;1;5;percentage;oui
243570;2;1;5;percentage;oui
234140;2;1;20;percentage;oui
231400;2;1;25;percentage;oui
200750;2;1;5;percentage;oui
200740;2;1;5;percentage;oui
235700;2;1;20;percentage;oui
98730OR;2;1;5;percentage;oui
54111;2;1;5;percentage;oui
180850;2;1;5;percentage;oui
180800;2;1;5;percentage;oui
180650;2;1;5;percentage;oui
180790;2;1;5;percentage;oui
180330;2;1;5;percentage;oui
180320;2;1;5;percentage;oui
180820;2;1;5;percentage;oui
409;2;1;5;percentage;oui
54104;2;1;5;percentage;oui
97621;2;1;5;percentage;oui
201940;2;1;5;percentage;oui
415260;2;1;5;percentage;oui
237780;2;1;5;percentage;oui
147;2;1;5;percentage;oui
415270;2;1;5;percentage;oui
227340;2;1;5;percentage;oui
268;2;1;5;percentage;oui
230850;2;1;5;percentage;oui
143580;2;1;5;percentage;oui
233630;2;1;5;percentage;oui
