reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
235920;3;1;5;percentage;oui
164530;3;1;5;percentage;oui
233250;3;1;5;percentage;oui
164510;3;1;5;percentage;oui
234020;3;1;15;percentage;oui
610;3;1;5;percentage;oui
235340;3;1;5;percentage;oui
174430;3;1;10;percentage;oui
227320;3;1;5;percentage;oui
196100;3;1;5;percentage;oui
243;3;1;5;percentage;oui
977;3;1;5;percentage;oui
42901;3;1;5;percentage;oui
42902;3;1;5;percentage;oui
945;3;1;5;percentage;oui
956;3;1;5;percentage;oui
173030;3;1;5;percentage;oui
173030;3;1;5;percentage;oui
168660;3;1;5;percentage;oui
630;3;1;10;percentage;oui
629;3;1;10;percentage;oui
631;3;1;10;percentage;oui
224540;3;1;5;percentage;oui
224560;3;1;5;percentage;oui
222120;3;1;5;percentage;oui
164520;3;1;5;percentage;oui
234340;3;1;15;percentage;oui
174660;3;1;5;percentage;oui
42905;3;1;5;percentage;oui
562;3;1;5;percentage;oui
241970;3;1;25;percentage;oui
85803;3;1;5;percentage;oui
233900;3;1;5;percentage;oui
920;3;1;5;percentage;oui
97604;3;1;5;percentage;oui
71901;3;1;5;percentage;oui
164410;3;1;5;percentage;oui
42903;3;1;5;percentage;oui
240;3;1;5;percentage;oui
61002;3;1;5;percentage;oui
235270;3;1;5;percentage;oui
243970;3;1;5;percentage;oui
236460;3;1;5;percentage;oui
236430;3;1;5;percentage;oui
331;3;1;5;percentage;oui
61003;3;1;5;percentage;oui
440;3;1;5;percentage;oui
236250;3;1;5;percentage;oui
236540;3;1;5;percentage;oui
789;3;1;5;percentage;oui
236310;3;1;5;percentage;oui
98710;3;1;5;percentage;oui
862;3;1;5;percentage;oui
235960;3;1;5;percentage;oui
97606;3;1;5;percentage;oui
632;3;1;10;percentage;oui
97610;3;1;5;percentage;oui
626A;3;1;10;percentage;oui
626;3;1;10;percentage;oui
628;3;1;10;percentage;oui
164760;3;1;5;percentage;oui
241340;3;1;5;percentage;oui
201930;3;1;5;percentage;oui
222180;3;1;5;percentage;oui
191490;3;1;5;percentage;oui
222140;3;1;5;percentage;oui
226180;3;1;25;percentage;oui
97607;3;1;5;percentage;oui
78302;3;1;5;percentage;oui
174390;3;1;5;percentage;oui
110;3;1;5;percentage;oui
243980;3;1;5;percentage;oui
651;3;1;5;percentage;oui
221880;3;1;5;percentage;oui
221790;3;1;5;percentage;oui
173050;3;1;5;percentage;oui
173050;3;1;5;percentage;oui
174880;3;1;5;percentage;oui
174150;3;1;5;percentage;oui
174410;3;1;5;percentage;oui
867;3;1;5;percentage;oui
241370;3;1;5;percentage;oui
174160;3;1;5;percentage;oui
226440;3;1;5;percentage;oui
231750;3;1;25;percentage;oui
231820;3;1;25;percentage;oui
231740;3;1;25;percentage;oui
243070;3;1;15;percentage;oui
231410;3;1;25;percentage;oui
174570;3;1;20;percentage;oui
202540;3;1;5;percentage;oui
234010;3;1;20;percentage;oui
199730;3;1;5;percentage;oui
741;3;1;5;percentage;oui
192310;3;1;5;percentage;oui
243570;3;1;5;percentage;oui
234140;3;1;20;percentage;oui
231400;3;1;25;percentage;oui
200750;3;1;5;percentage;oui
200740;3;1;5;percentage;oui
235700;3;1;20;percentage;oui
98730OR;3;1;5;percentage;oui
54111;3;1;5;percentage;oui
180850;3;1;5;percentage;oui
180800;3;1;5;percentage;oui
180650;3;1;5;percentage;oui
180790;3;1;5;percentage;oui
180330;3;1;5;percentage;oui
180320;3;1;5;percentage;oui
180820;3;1;5;percentage;oui
409;3;1;5;percentage;oui
54104;3;1;5;percentage;oui
97621;3;1;5;percentage;oui
201940;3;1;5;percentage;oui
415260;3;1;5;percentage;oui
237780;3;1;5;percentage;oui
147;3;1;5;percentage;oui
415270;3;1;5;percentage;oui
227340;3;1;5;percentage;oui
268;3;1;5;percentage;oui
230850;3;1;5;percentage;oui
143580;3;1;5;percentage;oui
233630;3;1;5;percentage;oui
