reference;Prix spécial : Id_group client;Prix spécial : Qté minimum;Prix spécial : reduction;Prix spécial : Type de reduction;soldé
234350;1;1;5;percentage;oui
229;1;1;5;percentage;oui
201530;1;1;5;percentage;oui
201640;1;1;5;percentage;oui
201540;1;1;5;percentage;oui
201620;1;1;5;percentage;oui
201700;1;1;5;percentage;oui
201670;1;1;5;percentage;oui
201560;1;1;5;percentage;oui
201580;1;1;5;percentage;oui
201630;1;1;5;percentage;oui
201650;1;1;5;percentage;oui
201550;1;1;5;percentage;oui
201690;1;1;5;percentage;oui
231340;1;1;5;percentage;oui
201590;1;1;5;percentage;oui
201680;1;1;5;percentage;oui
201710;1;1;5;percentage;oui
231380;1;1;5;percentage;oui
201600;1;1;5;percentage;oui
201570;1;1;5;percentage;oui
201520;1;1;5;percentage;oui
237000;1;1;5;percentage;oui
243870;1;1;5;percentage;oui
870;1;1;5;percentage;oui
147810;1;1;5;percentage;oui
147800;1;1;5;percentage;oui
147790;1;1;5;percentage;oui
176270;1;1;5;percentage;oui
139;1;1;5;percentage;oui
50901;1;1;5;percentage;oui
85804;1;1;5;percentage;oui
237110;1;1;5;percentage;oui
857;1;1;5;percentage;oui
230200;1;1;5;percentage;oui
2328971;1;1;20;percentage;oui
2403619;1;1;20;percentage;oui
239160;1;1;20;percentage;oui
202480;1;1;20;percentage;oui
168940;1;1;5;percentage;oui
249;1;1;5;percentage;oui
2403583;1;1;20;percentage;oui
241130;1;1;5;percentage;oui
164770;1;1;5;percentage;oui
170970;1;1;5;percentage;oui
170960;1;1;5;percentage;oui
200480;1;1;5;percentage;oui
798;1;1;5;percentage;oui
97609;1;1;5;percentage;oui
51201;1;1;5;percentage;oui
42904;1;1;5;percentage;oui
202;1;1;5;percentage;oui
238;1;1;5;percentage;oui
795;1;1;5;percentage;oui
164540;1;1;5;percentage;oui
173020;1;1;5;percentage;oui
45010;1;1;5;percentage;oui
565;1;1;5;percentage;oui
233400;1;1;5;percentage;oui
174580;1;1;5;percentage;oui
97605;1;1;5;percentage;oui
680;1;1;5;percentage;oui
226;1;1;5;percentage;oui
614;1;1;5;percentage;oui
756;1;1;5;percentage;oui
236;1;1;5;percentage;oui
234490;1;1;5;percentage;oui
539S;1;1;5;percentage;oui
234;1;1;5;percentage;oui
943;1;1;5;percentage;oui
231460;1;1;5;percentage;oui
2403591;1;1;20;percentage;oui
24301;1;1;5;percentage;oui
164500;1;1;5;percentage;oui
247;1;1;5;percentage;oui
228;1;1;5;percentage;oui
164550;1;1;5;percentage;oui
574B;1;1;5;percentage;oui
235370;1;1;5;percentage;oui
228270;1;1;5;percentage;oui
235920;1;1;5;percentage;oui
164530;1;1;5;percentage;oui
233250;1;1;5;percentage;oui
164510;1;1;5;percentage;oui
234020;1;1;15;percentage;oui
610;1;1;5;percentage;oui
235340;1;1;5;percentage;oui
174430;1;1;10;percentage;oui
227320;1;1;5;percentage;oui
196100;1;1;5;percentage;oui
243;1;1;5;percentage;oui
977;1;1;5;percentage;oui
42901;1;1;5;percentage;oui
42902;1;1;5;percentage;oui
945;1;1;5;percentage;oui
956;1;1;5;percentage;oui
173030;1;1;5;percentage;oui
173030;1;1;5;percentage;oui
168660;1;1;5;percentage;oui
630;1;1;10;percentage;oui
629;1;1;10;percentage;oui
631;1;1;10;percentage;oui
224540;1;1;5;percentage;oui
224560;1;1;5;percentage;oui
222120;1;1;5;percentage;oui
164520;1;1;5;percentage;oui
234340;1;1;15;percentage;oui
174660;1;1;5;percentage;oui
42905;1;1;5;percentage;oui
562;1;1;5;percentage;oui
241970;1;1;25;percentage;oui
85803;1;1;5;percentage;oui
233900;1;1;5;percentage;oui
920;1;1;5;percentage;oui
97604;1;1;5;percentage;oui
71901;1;1;5;percentage;oui
164410;1;1;5;percentage;oui
42903;1;1;5;percentage;oui
240;1;1;5;percentage;oui
61002;1;1;5;percentage;oui
235270;1;1;5;percentage;oui
243970;1;1;5;percentage;oui
236460;1;1;5;percentage;oui
236430;1;1;5;percentage;oui
331;1;1;5;percentage;oui
61003;1;1;5;percentage;oui
440;1;1;5;percentage;oui
236250;1;1;5;percentage;oui
236540;1;1;5;percentage;oui
789;1;1;5;percentage;oui
236310;1;1;5;percentage;oui
98710;1;1;5;percentage;oui
862;1;1;5;percentage;oui
235960;1;1;5;percentage;oui
97606;1;1;5;percentage;oui
632;1;1;10;percentage;oui
97610;1;1;5;percentage;oui
626A;1;1;10;percentage;oui
626;1;1;10;percentage;oui
628;1;1;10;percentage;oui
164760;1;1;5;percentage;oui
241340;1;1;5;percentage;oui
201930;1;1;5;percentage;oui
222180;1;1;5;percentage;oui
191490;1;1;5;percentage;oui
222140;1;1;5;percentage;oui
226180;1;1;25;percentage;oui
97607;1;1;5;percentage;oui
78302;1;1;5;percentage;oui
174390;1;1;5;percentage;oui
110;1;1;5;percentage;oui
243980;1;1;5;percentage;oui
651;1;1;5;percentage;oui
221880;1;1;5;percentage;oui
221790;1;1;5;percentage;oui
173050;1;1;5;percentage;oui
173050;1;1;5;percentage;oui
174880;1;1;5;percentage;oui
174150;1;1;5;percentage;oui
174410;1;1;5;percentage;oui
867;1;1;5;percentage;oui
241370;1;1;5;percentage;oui
174160;1;1;5;percentage;oui
226440;1;1;5;percentage;oui
231750;1;1;25;percentage;oui
231820;1;1;25;percentage;oui
231740;1;1;25;percentage;oui
243070;1;1;15;percentage;oui
231410;1;1;25;percentage;oui
174570;1;1;20;percentage;oui
202540;1;1;5;percentage;oui
234010;1;1;20;percentage;oui
199730;1;1;5;percentage;oui
741;1;1;5;percentage;oui
192310;1;1;5;percentage;oui
243570;1;1;5;percentage;oui
234140;1;1;20;percentage;oui
231400;1;1;25;percentage;oui
200750;1;1;5;percentage;oui
200740;1;1;5;percentage;oui
235700;1;1;20;percentage;oui
98730OR;1;1;5;percentage;oui
54111;1;1;5;percentage;oui
180850;1;1;5;percentage;oui
180800;1;1;5;percentage;oui
180650;1;1;5;percentage;oui
180790;1;1;5;percentage;oui
180330;1;1;5;percentage;oui
180320;1;1;5;percentage;oui
180820;1;1;5;percentage;oui
409;1;1;5;percentage;oui
54104;1;1;5;percentage;oui
97621;1;1;5;percentage;oui
201940;1;1;5;percentage;oui
415260;1;1;5;percentage;oui
237780;1;1;5;percentage;oui
147;1;1;5;percentage;oui
415270;1;1;5;percentage;oui
227340;1;1;5;percentage;oui
268;1;1;5;percentage;oui
230850;1;1;5;percentage;oui
143580;1;1;5;percentage;oui
233630;1;1;5;percentage;oui
